Designator,Footprint,Quantity,Value,LCSC Part #
"C1001, C1002, C1004, C303",0805,4,1uF/50V,C28323
"C1003, C1006, C1008, C804, C806",0805,5,10uF/25V,C15850
"C1005, C1007, C1009, C1301, C1302, C1303, C1304, C1305, C203, C204, C205, C401, C405, C502, C602, C803, C805, C905, C908",0805,19,100nF/50V,C1711
"C1101, C201, C802, C807",1206,4,100uF/6.3V,C15008
"C1201, C202",1206,2,100nF/50V,C24497
"C301, C302",1206,2,4.7uF/25V,C1872
C304,1206,1,1uF/50V,C1848
"C305, C306",0603,2,100nF/50V,C14663
"C307, C308",0603,2,1uF/50V,C15849
"C402, C403, C404, C413, C415",1206,5,4.7uF/50V,C29823
C406,0805,1,100pF/50V,C1790
C407,1206,1,47uF/10V,C96123
"C408, C409",0805,2,2.2uF/25V,C19110
C410,1206,1,10uF/16V,C1849
C411,1206,1,22uF/25V,C12891
C412,0805,1,3.3pF/50V,C170106
"C414, C419",0805,2,4.7pF/50V,C1820
"C416, C417",0805,2,4.7uF/25V,C1779
C418,0805,1,680pF/50V,C1754
"C501, C503, C505, C506, C601, C603, C605, C606, C901, C902, C906, C907, C909, C910, C911, C912",0805,16,1µF/50V,C28323
"D1001, D1002, D1003, D1004, D1005, D1006, D1007, D1008, D1009, D1010, D1011, D1012, D1013, D1014, D1015, D1016, D1017",WL-SFTW_3528_PLCC4,17,150352M173300,C6785090
"D1101, D1203, D1303",WL-SMCW_0603_Yellow,3,150060YS75000,C6784997
"D1102, D1204, D1304",WL-SMCW_0603_Green,3,150060GS75000,C5252984
"D1201, D1202",D_SMA,2,SMAJ12A,C28613
"D1301, D1302",D_SMA,2,SMAJ15CA,C46985
D301,D_SMA,1,SMAJ20A,C10763
D302,D_SMA,1,SMAJ15A,C23424
D304,WL-SMSW_1204_A,1,E6C1204VGAC1UDA,C375482
"D401, D402",DIO_BAS716_115,2,"BAS716,115",C282366
D403,D_SOD-323F,1,"PMEG4010CEJ,115",C50704
"D501, D502, D503, D504, D601, D602, D603, D604, D801, D802, D803, D804, D901, D902, D903, D904, D905, D906, D907, D908",TSOT-23,20,BAV199LT1G,C145516
"D701, D703, D705, D707, D709, D711, D713, D715",SOT95P240X111-3N,8,BZX84C10LT1G,C82476
"D702, D706, D710, D714",D_SMA,4,SMAJ5.0A,C10758
"D704, D708, D712, D716",D_SMA,4,SMAJ24A,C10769
D805,D_SMA,1,SMAJ26A,C49370
"F1201, F1202",1206,2,1206L010/60WR,C2153714
"F801, F802, F803, F804",FUSC1607X85N,4,0ZCM0002FF2G,C5299556
"IC1001, IC1002, IC1003",VQFN-32_LP5018RSMR,3,LP5018RSMR,C2653373
J1101,61300621121,1,6130XX21121_61300621121,C5140604
"J1102, J1201, J1301",PHOENIX_1861933,3,1861933,C5483323
J1202,PHOENIX_1933192,1,1933192,C5266027
"J201, J202, J203, J204",61201621621,4,5103308-3,C305956
"J301, J401",AMPHENOL_12402012E212A,2,12402012E212A,C5150972
J402,PHOENIX_1861946,1,1861946,C6368767
"J501, J601, J710, J801",PHOENIX_1861959,4,1861959,C6656102
"J702, J704, J706, J708",61301221121,4,6130XX21121_61301221121,C6699258
"L1201, L1202",1206,2,CBM321609U181T,C391192
"L301, L303",WE-MPSB_1812,2,WE-MPSB_1812,C5155961
L302,WE-MAPI_4020,1,XAL4020-122MEC,C19191653
L401,INDDFN750X750X310-2N,1,3.3uH,C5448588
L402,WE-LQS_3015,1,10uH,C1329386
L403,WE-LQS_5020,1,10uH,C7193153
Q301,SOT-23,1,BSS123,C8491
"Q701, Q702, Q703, Q704, Q705, Q706, Q707, Q708",SOT-23,8,BS170FTA,C5236685
