Designator,Mid X,Mid Y,Rotation,Layer
C1001,67.818,-28.575,270.0,top
C1002,239.776,-19.05,270.0,top
C1003,84.455,-34.163,0.0,top
C1004,129.794,-54.483,180.0,top
C1005,84.455,-30.988,0.0,top
C1006,245.237,-8.763,0.0,top
C1007,245.237,-5.461,0.0,top
C1008,151.99982,-62.611,0.0,top
C1009,152.146,-59.817,0.0,top
C1101,136.652,-87.884,90.0,top
C1201,187.198,-103.9345,0.0,top
C1301,122.682,-107.315,270.0,top
C1302,112.395,-94.1555,90.0,top
C1303,122.428,-94.2825,90.0,top
C1304,115.697,-94.2825,270.0,top
C1305,118.999,-94.3435,270.0,top
C201,342.138,-47.244,90.0,top
C202,337.312,-47.277275,90.0,top
C203,350.911413,-84.217776,270.0,top
C204,359.951913,-66.414513,270.0,top
C205,384.651129,-8.103363,180.0,top
C301,373.207,-26.174,270.0,top
C302,364.317,-26.174,270.0,top
C303,350.524,-3.036,270.0,top
C304,349.504,-17.272,90.0,top
C305,355.782,-34.439,90.0,top
C306,353.242,-34.439,90.0,top
C307,350.702,-34.439,90.0,top
C308,354.512,-38.516,180.0,top
C401,390.023846,-56.089846,180.0,top
C402,387.907,-33.02,180.0,top
C403,387.907,-36.576,180.0,top
C404,387.907,-40.132,180.0,top
C405,388.366,-43.434,180.0,top
C406,383.3895,-49.944945,0.0,top
C407,380.953428,-61.629954,270.0,top
C408,388.366,-105.095424,180.0,top
C409,392.994076,-113.477424,0.0,top
C410,393.175,-73.0725,0.0,top
C411,389.636,-85.09,180.0,top
C412,374.627319,-88.25484,180.0,top
C413,378.714,-80.38084,0.0,top
C414,362.712,-118.534587,180.0,top
C415,376.052657,-110.033645,270.0,top
C416,365.114,-76.586,180.0,top
C417,367.77475,-105.1325,180.0,top
C418,370.586,-117.4605,270.0,top
C419,344.932,-12.954,90.0,top
C501,24.1815,-34.29,90.0,top
C502,28.7535,-42.926,270.0,top
C503,18.5935,-41.9585,180.0,top
C505,20.8795,-47.4195,180.0,top
C506,20.7525,-50.8485,180.0,top
C601,258.7225,-38.735,90.0,top
C602,264.922,-48.26,180.0,top
C603,253.1345,-46.101,180.0,top
C605,254.254,-54.229,180.0,top
C606,254.254,-57.531,180.0,top
C802,89.154,-11.176,270.0,top
C803,59.055,-26.543,90.0,top
C804,62.103,-26.477,90.0,top
C805,64.897,-34.925,90.0,top
C806,67.696622,-34.925,90.0,top
C807,137.668,-13.462,90.0,top
C901,161.671,-44.142157,270.0,top
C902,114.681,-42.91,90.0,top
